"name","lat","lon"
"llanorum",9.30833,-69.7
"llanorum",-13.08333,-67.25
"llanorum",6.44,-67.12
"llanorum",6.28,-67.08
"llanorum",6.83333,-66.5
"llanorum",5.53,-65.95
"llanorum",6.66,-65.71
"barbigera",-16.033333,-62.083333
"llanorum",-13.55083,-61.05861
"llanorum",-13.6,-61
"albescens",-14.55,-60.916667
"albescens",-14.58194,-60.84111
"llanorum",-13.65388,-60.83111
"aegopogon",-14.82333,-60.38611
"barbigera",-16.17,-59.42
"barbigera",-15.490556,-57.195556
"barbigera",-14.617,-56.583
"barbigera",-13.866667,-56.533333
"barbigera",-14.4122647873905,-56.4468180174412
"verticillaris",-15.030833,-56.362222
"barbigera",-12.634444,-56.335
"barbigera",-13.52,-56.32
"barbigera",-15.6489,-56.195
"barbigera",-15.5997895735814,-56.0977014111779
"barbigera",-14.473611,-55.680556
"barbigera",-14.35,-55.57
"barbigera",-17.833333,-55.333333
"verticillaris",-15.8106,-54.9178
"barbigera",-13.618,-53.292
"verticillaris",-10.773109,-53.08982
"verticillaris",-9.69,-52.606
"verticillaris",-14.733333,-52.333333
"barbigera",-14.6667,-52.33
"barbigera",-15.85,-52.267
"barbigera",-15.0535,-52.2582
"barbigera",-14.63,-52.23
"verticillaris",-17.366667,-52.166667
"barbigera",-14.13,-52.15
"barbigera",-14.03,-52.12
"barbigera",-13.92,-52.08
"barbigera",-15.77955,-51.9912
"edmundoi",-6.641589,-51.97281
"barbigera",-12.9,-51.87
"barbigera",-12.9455499691,-51.8249179961806
"barbigera",-17.1278,-51.8167
"barbigera",-17.25,-51.8
"barbigera",-12.82,-51.77
"verticillaris",-12.32,-51.77
"verticillaris",-11.698,-51.428
"verticillaris",-11.575,-50.977
"verticillaris",-11.3431,-50.5837
"papyrus",-16.1306220867293,-50.2156233906965
"barbigera",-8.072222,-50.181944
"verticillaris",-16.065858,-50.178486
"aegopogon",-15.066667,-50.166667
"verticillaris",-15.92,-50.15
"verticillaris",-16,-50.133333
"barbigera",-6.06666,-50.13333
"verticillaris",-16.15922,-50.1333
"barbigera",-16.035709,-50.104255
"papyrus",-15.95,-50.03
"papyrus",-16.0611,-50.00122
"papyrus",-14.000618,-50.000564
"verticillaris",-10.916944,-49.630556
"verticillaris",-14.568,-49.51
"barbigera",-16.536889,-49.286111
"barbigera",-16.6786,-49.2539
"melastomoides",-16.403053,-49.252211
"barbigera",-16.8270387160443,-49.2444618080405
"barbigera",-15.923333,-49.231667
"barbigera",-16.518806,-49.146111
"verticillaris",-12.85,-49.1
"melastomoides",-14.45,-49.08333
"verticillaris",-8.807778,-49.082778
"aegopogon",-16,-49
"melastomoides",-14.63333,-48.96667
"aegopogon",-15.8525,-48.9592
"aegopogon",-15.824722,-48.906667
"verticillaris",-10.166667,-48.883333
"barbigera",-14.85,-48.87
"aegopogon",-15.85,-48.85664
"papyrus",-15.8025,-48.847222
"barbigera",-13.75,-48.83
"aegopogon",-16.0357639586557,-48.8091309966958
"aegopogon",-15.9236,-48.8086
"verticillaris",-15.8,-48.77
"aegopogon",-17.8,-48.75
"exasperata",-15.841099,-48.746796
"barbigera",-9.83938229365265,-48.7258127080231
"aegopogon",-14.56667,-48.69917
"verticillaris",-3.416667,-48.62
"pogonanthera",-0.416667,-48.616667
"verticillaris",-8.5006,-48.6008
"melastomoides",-14.488611,-48.557222
"verticillaris",-8.93,-48.52
"verticillaris",-14.4739,-48.4597
"verticillaris",-14.54942,-48.45
"verticillaris",-13.81667,-48.43333
"verticillaris",-13.65,-48.416667
"aegopogon",-14.404444,-48.416389
"melastomoides",-14.32,-48.4
"verticillaris",-13.466666,-48.383333
"melastomoides",-7.357222,-48.372222
"verticillaris",-17.716667,-48.366667
"barbigera",-0.333333,-48.333333
"verticillaris",-13.586111,-48.3125
"barbigera",-18.606389,-48.303611
"aegopogon",-15.75,-48.3
"melastomoides",-13.966667,-48.3
"melastomoides",-13.71889,-48.29944
"barbigera",-10.124444,-48.270556
"melastomoides",-13.662222,-48.268055
"melastomoides",-15.55,-48.25
"melastomoides",-10.283333,-48.216667
"melastomoides",-14.36667,-48.2
"melastomoides",-13.566666,-48.166667
"verticillaris",-10.253611,-48.095833
"pogonanthera",-13.417222,-48.080278
"pogonanthera",-13.529444,-48.0675
"melastomoides",-13.3775,-48.050278
"aegopogon",-15.566667,-48.033333
"verticillaris",-13.5425,-48.000556
"aegopogon",-17,-48
"aegopogon",-16,-48
"aegopogon",-15.9,-48
"barbigera",-15.7834208090807,-47.9298726661488
"aegopogon",-15.911111,-47.914167
"melastomoides",-14.235278,-47.905833
"aegopogon",-15.951944,-47.893611
"aegopogon",-15.583333,-47.883333
"aegopogon",-15.866667,-47.85
"melastomoides",-14.179722,-47.842222
"aegopogon",-15.8,-47.82397
"melastomoides",-13.65,-47.819167
"barbigera",-6.816667,-47.816667
"aegopogon",-17.422833,-47.795583
"papyrus",-14.159167,-47.785278
"aegopogon",-14.219444,-47.737222
"barbigera",-15.59167,-47.70833
"barbigera",-11.660833,-47.706667
"nigricans",-14.143056,-47.703056
"aegopogon",-16.745944,-47.694667
"aegopogon",-15.73555,-47.6874
"aegopogon",-16.823742555015,-47.6704580401791
"aegopogon",-15.483935,-47.639318
"melastomoides",-14.185556,-47.626944
"verticillaris",-17.84727,-47.61584
"aegopogon",-16.7686,-47.6136
"aegopogon",-16.799314,-47.567975
"melastomoides",-11.433333,-47.566667
"aegopogon",-11.22333,-47.566111
"melastomoides",-15.533333,-47.55
"albescens",-14.38,-47.53
"verticillaris",-14.116667,-47.516667
"aegopogon",-14.072694,-47.509333
"melastomoides",-13.86327,-47.5
"albescens",-13.766667,-47.5
"barbigera",-7.33661711060559,-47.4696293562447
"albescens",-14.104,-47.4658
"melastomoides",-13.7975,-47.4583
"aegopogon",-19.8694005837072,-47.4401506543322
"aegopogon",-13.929444,-47.430278
"albescens",-14.071511,-47.391086
"aegopogon",-16.475753,-47.340471
"aegopogon",-18.066944,-47.272222
"albescens",-13.8162297263192,-47.2651251433805
"aegopogon",-13.733333,-47.25
"verticillaris",-13.4536716251006,-47.2304222379731
"verticillaris",-13.273667550479,-47.2204212748853
"aegopogon",-17.05385,-47.1541
"verticillaris",-13.417222,-47.080278
"barbigera",-13.529444,-47.0675
"albescens",-14,-47
"aegopogon",-11,-47
"aegopogon",-17.22555,-46.8727
"verticillaris",-7.583333,-46.833333
"aegopogon",-20.335,-46.812778
"aegopogon",-20.3425,-46.767222
"pogonanthera",-10.55,-46.75
"aegopogon",-20.434444,-46.653333
"barbigera",-13.648056,-46.596111
"verticillaris",-14.396,-46.572917
"aegopogon",-19.682778,-46.445
"aegopogon",-20.267222,-46.415556
"aegopogon",-14.13,-46.37
"melastomoides",-12.348,-46.338
"verticillaris",-7.583333,-46.083333
"aegopogon",-14,-46
"verticillaris",-6.616667,-45.883333
"albescens",-13.566944,-45.084722
"barbigera",-6.666667,-44.7
"aegopogon",-19.690239,-44.096503
"verticillaris",-18.03476,-43.3833
