"name","latitude","longitude","Talb_mod_extract"
"albescens",-13.56694444,-48.08472222,360
"albescens",-14.1167,-47.65562,1248
"albescens",-14.38,-47.53,1118
"albescens",-13.766667,-47.5,948
"albescens",-14.0755,-47.4754,1132
"albescens",-14.13333333,-47.45,1252
"albescens",-14.071511,-47.391086,815
"albescens",-13.81255,-47.2647,895
"albescens",-14,-47,454
"albescens",-12.9314003,-46.93830109,746
"albescens",-13.566944,-45.084722,727
"albescens",-13.34,-45.05055556,767
"albescens",-14.297,-47.8386,672
"albescens",-14.1431,-47.7031,1248
"albescens",-14.1897,-47.774,1080
"albescens",-14.1714,-47.5211,1290
