"name","latitude","longitude","Tbipen_mod_extract"
"bipenicillata",4.157558,-73.635531,537
"bipenicillata",5.53,-67.53,106
"bipenicillata",5.5512,-67.588,66
"bipenicillata",5.68,-67.18,650
"bipenicillata",5.75,-67.5,91
"bipenicillata",5.85,-67.483333,62
"bipenicillata",5.96,-67.36,67
"bipenicillata",6.03,-67.36,60
"bipenicillata",6.83333,-66.5,178
"bipenicillata",7.8,-80.75,317
"bipenicillata",8.54083,-81.15722,908
"bipenicillata",8.91666,-71.68333,18
"bipenicillata",9.42416,-69.50861,715
"bipenicillata",9.7,-69.533333,874
"bipenicillata",4.8567,-73.2853,1163
"bipenicillata",9.8926,-84.4835,291
