"name","latitude","longitude","Tdissitiflora_extract","Tdiss_mod_extract"
"dissitiflora",5.75,-66.05,1743,1743
"dissitiflora",1.53333,-65.81666,792,792
"dissitiflora",1.43333,-65.78333,413,413
"dissitiflora",5.91,-66.38,1550,1550
"dissitiflora",0.78333,-66.18333,740,740
"dissitiflora",1.5,-65.85,886,886
"dissitiflora",0.98,-65.93,1443,1443
"dissitiflora",7.1225,-66.16944,201,201
"dissitiflora",0.908333,-66.041667,1275,1275
"dissitiflora",0.881389,-66.083333,1275,1275
"dissitiflora",5.9167,-66.433,NA,848
