"name","latitude","longitude","Tbarbigera_extract"
"barbigera",-13.5522,-52.2683,400
"barbigera",-14.9569,-54.9656,477
"barbigera",-13.2422,-53.0797,393
"barbigera",-14.9058,-53.0183,383
"barbigera",-15.801111,-48.834722,1205
"barbigera",-15.7944,-48.7758,1126
"barbigera",-6.8166667,-47.8166667,387
"barbigera",-6.06666,-50.13333,579
"barbigera",-14.13,-52.15,324
"barbigera",-14.03,-52.12,427
"barbigera",-17.25,-51.8,805
"barbigera",-17.1278,-51.8167,741
"barbigera",-15.77955,-51.9912,327
"barbigera",-12.9419,-51.8242,377
"barbigera",-20.4711,-55.7869,156
"barbigera",-15.6489,-56.195,213
"barbigera",-16.17,-59.42,386
"barbigera",-14.4086,-56.4458,334
"barbigera",-13.75,-48.83,702
"barbigera",-7.3331,-47.4692,164
"barbigera",-9.8358,-48.7253,366
"barbigera",-8.05,-50.166667,294
"barbigera",-18.1425,-48.5614,641
"barbigera",-15.59167,-47.70833,968
"barbigera",-14.51360035,-56.48249817,272
"barbigera",-14.617,-56.583,277
"barbigera",-13.908,-52.078,388
"barbigera",-13.618,-53.292,388
"barbigera",-15.85,-52.267,519
"barbigera",-16.0821991,-48.50719833,1051
"barbigera",-17.30279922,-49.01670074,768
"barbigera",-15.923333,-49.231667,691
"barbigera",-13.648056,-46.596111,492
"barbigera",-18.606389,-48.303611,716
"barbigera",-18.91860008,-48.27719879,846
"barbigera",-16.6786,-49.2539,772
"barbigera",-15.53719997,-47.33440018,894
"barbigera",-17.833333,-55.333333,155
"barbigera",-12.9,-51.866667,365
"barbigera",-15.85249996,-48.95920181,782
"barbigera",-6.666667,-44.7,252
"barbigera",-15.59609985,-56.09669876,178
"barbigera",-13.866667,-56.533333,403
"barbigera",-13.529444,-47.0675,402
"barbigera",-16.518806,-49.146111,791
"barbigera",-15.583333,-47.916667,917
"barbigera",-10.124444,-48.270556,486
"barbigera",-14.67329979,-52.35309982,289
"barbigera",-16.851944,-49.239167,757
"barbigera",-15.490556,-57.195556,185
"barbigera",-14.13249969,-47.50999832,1240
"barbigera",-16.32128,-49.171,943
"barbigera",-16.31077,-49.0846,857
"barbigera",-15.77970028,-47.92969894,1127
"barbigera",-11.3939,-47.4224,674
"barbigera",-15.86559963,-56.0766983,157
"barbigera",-12.8166666666667,-51.7666666666667,332
"barbigera",-14.85,-48.8666666666667,695
"barbigera",-14.6333333333333,-52.2333333333333,287
"barbigera",-15.0536111111111,-52.2583333333333,345
"barbigera",-13.3852777777778,-46.3547222222222,668
"barbigera",-13.51,-56.29,390
"barbigera",-14.35,-55.57,292
"barbigera",-15.5525,-49.1352777777778,753
"barbigera",-18.3622222222222,-48.1813888888889,554
"barbigera",-12.6344444444444,-56.335,392
"barbigera",-16.0358333333333,-50.1041666666667,724
