"name","latitude","longitude","Tmelastomoides_extract"
"melastomoides",-7.357222,-48.372222,230
"melastomoides",-10.77305556,-53.08972222,271
"melastomoides",-13.86327,-47.5,747
"melastomoides",-14.35,-48.2,470
"melastomoides",-14.45,-49.08333,512
"melastomoides",-13.662222,-48.268055,741
"melastomoides",-14.63333,-48.96667,469
"melastomoides",-13.71889,-48.29944,854
"melastomoides",-12.348,-46.338,783
"melastomoides",-13.3775,-48.050278,393
"melastomoides",-15.16030025,-48.28390121,649
"melastomoides",-13.53310013,-48.22000122,394
"melastomoides",-14.235278,-47.905833,654
"melastomoides",-15.85249996,-48.95920181,782
"melastomoides",-10.55,-46.75,413
"melastomoides",-15.77970028,-47.92969894,1127
"melastomoides",-15.798889,-48.818611,1178
"melastomoides",-14.161111,-47.790833,1100
"melastomoides",-10.283333,-48.216667,427
"melastomoides",-13.79749966,-47.45830154,806
"melastomoides",-13.966667,-48.3,443
"melastomoides",-14.13249969,-47.50999832,1240
"melastomoides",-14.1108,-47.3737,1092
"melastomoides",-15.841099,-48.746796,1151
"melastomoides",-14.071511,-47.391086,815
"melastomoides",-15.32,-47.33,694
"melastomoides",-15.79440022,-48.7757988,1126
"melastomoides",-13.5666666666667,-48.1666666666667,406
"melastomoides",-15.55,-48.25,1273
"melastomoides",-14.3166666666667,-48.4,939
"melastomoides",-13.2238888888889,-48.03,588
"melastomoides",-11.4333333333333,-47.5666666666667,514
"melastomoides",-14.4886111111111,-48.5572222222222,595
"melastomoides",-14.1797222222222,-47.8422222222222,858
