name,latitude,longitude,Tpapyrus_extract
papyrus,-14.0006181,-50.0005639,308
papyrus,-16.0611,-50.00122,765
papyrus,-15.85,-48.78195,1051
papyrus,-16.1269,-50.215,580
papyrus,-13.77639961,-47.26470184,751
papyrus,-15.9236002,-48.80860138,1008
papyrus,-15.85249996,-48.95920181,782
papyrus,-15.4809,-48.505,680
papyrus,-14.0933,-47.4707,1179
papyrus,-15.95,-50.033333,837
papyrus,-16.03583333,-50.10416667,724
papyrus,-15.8019,-48.8536,
papyrus,-15.807,-48.889,
papyrus,-17.1553,-51.0025,
papyrus,-15.8,-48.85,
papyrus,-15.8,-48.83333333,
