"specificEpithet","infraspecificEpithet","scientificName","day","month","year","latitude","longitude"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",6,3,2015,-11.69421,-47.70079
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",8,3,2015,-12.942,-46.934
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",22,3,2012,-14.09525,-47.492802
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",24,3,2012,-13.929,-47.43
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",8,2,1987,-13.73,-47.25
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",8,2,1987,-13.8011790502698,-47.4585377147004
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",19,4,1983,-9.58,-54.92
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",8,3,1973,-13.9584,-47.3578
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",23,3,1971,-13.89074,-47.5167
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",8,3,1969,-13.86327,-47.5
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",13,3,1969,-13.80036,-47.5167
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",NA,NA,NA,-19.690239,-44.096503
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",NA,NA,NA,-13.73,-47.25
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",8,3,1973,-13.9584,-47.3578
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",13,3,1969,-13.80036,-47.5167
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",23,3,1971,-13.89074,-47.5167
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",8,2,1987,-13.7975,-47.4581
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",8,3,1969,-13.86327,-47.5
"aegopogon var. angustifolia","","Tibouchina aegopogon var. angustifolia",8,3,2015,-12.942,-46.934
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",6,3,2015,-11.69421,-47.70079
"aegopogon","var. angustifolia","Tibouchina aegopogon var. angustifolia",24,3,2012,-13.929,-47.43
"aegopogon","var. angustifolia","Tibouchina aegopogon var. angustifolia",22,3,2012,-14.09525,-47.492802
"aegopogon","var. angustifolia","Tibouchina aegopogon var. angustifolia",8,2,2001,-14.67329979,-52.35309982
"aff. aegopogon","var. angustifolia","Tibouchina aff. aegopogon var. angustifolia",22,3,2012,-14.09525,-47.492802
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",22,3,2012,-14.09525,-47.492802
"aegopogon","var. angustifolia","MELASTOMATACEAE tibouchina aegopogon aff. subsp. var. angustifolia Cogn.",22,3,2012,-14.0952777777778,-47.4927777777778
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia (Naudin) Cogn.",8,2,1987,-13.7333333333333,-47.25
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia (Naudin) Cogn.",19,4,1983,-9.58333333333333,-54.9166666666667
"aegopogon","var. angustifolia","MELASTOMATACEAE tibouchina aegopogon subsp. var. angustifolia (Naudin) Cogn.",24,3,2012,-13.9288888888889,-47.43
"aegopogon","var. angustifolia","MELASTOMATACEAE tibouchina aegopogon subsp. var. angustifolia Cogn.",22,3,2012,-14.0952777777778,-47.4927777777778
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia Cogn.",NA,NA,NA,-13.8633333333333,-47.5
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia Cogn.",NA,NA,NA,-13.8908333333333,-47.5166666666667
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia Cogn.",NA,NA,NA,-13.8002777777778,-47.5166666666667
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia Cogn.",NA,NA,NA,-13.9583333333333,-47.3577777777778
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia Cogn.",NA,NA,NA,-13.7975,-47.4580555555556
