"specificEpithet","infraspecificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",6,3,2015,-11.69421,-47.70079,"82908","UFPR","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",8,3,2015,-12.942,-46.934,"82568","UFPR","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",22,3,2012,-14.09525,-47.492802,"91169","UFPR","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",24,3,2012,-13.929,-47.43,"82003","UFPR","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",22,3,2012,-14.09525,-47.492802,"91170","UFPR","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",22,3,2012,-14.09525,-47.492802,"188124","UNICAMP","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",8,2,1987,-13.73,-47.25,"K000972768","K","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",8,2,1987,-13.73,-47.25,"K000972767","K","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",8,2,1987,-13.8011790502698,-47.4585377147004,"00941661","NY","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",19,4,1983,-9.58,-54.92,"K000972770","K","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",8,3,1973,-13.9584,-47.3578,"00941561","NY","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",23,3,1971,-13.89074,-47.5167,"00941567","NY","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",8,3,1969,-13.86327,-47.5,"00941886","NY","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",13,3,1969,-13.80036,-47.5167,"00941565","NY","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",8,3,1969,-13.86327,-47.5,"00941887","NY","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",NA,NA,NA,-19.690239,-44.096503,"BM000953966","NHMUK","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon var. angustifolia Cogn.",NA,NA,NA,-13.73,-47.25,"K000972769","K","gbif"
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",8,3,1973,-13.9584,-47.3578,"941561","NYBG","spLink"
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",13,3,1969,-13.80036,-47.5167,"941565","NYBG","spLink"
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",23,3,1971,-13.89074,-47.5167,"941567","NYBG","spLink"
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",8,2,1987,-13.7975,-47.4581,"941661","NYBG","spLink"
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",8,3,1969,-13.86327,-47.5,"941886","NYBG","spLink"
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",8,3,1969,-13.86327,-47.5,"941887","NYBG","spLink"
"aegopogon var. angustifolia","","Tibouchina aegopogon var. angustifolia",8,3,2015,-12.942,-46.934,"82568","UFPR","spLink"
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",6,3,2015,-11.69421,-47.70079,"82908","UFPR","spLink"
"aegopogon","var. angustifolia","Tibouchina aegopogon var. angustifolia",24,3,2012,-13.929,-47.43,"82003","UFPR","spLink"
"aegopogon","var. angustifolia","Tibouchina aegopogon var. angustifolia",22,3,2012,-14.09525,-47.492802,"91170","UFPR","spLink"
"aegopogon","var. angustifolia","Tibouchina aegopogon var. angustifolia",8,2,2001,-14.67329979,-52.35309982,"","UFPR","spLink"
"aff. aegopogon","var. angustifolia","Tibouchina aff. aegopogon var. angustifolia",22,3,2012,-14.09525,-47.492802,"91169","UFPR","spLink"
"aegopogon","angustifolia","Tibouchina aegopogon angustifolia",22,3,2012,-14.09525,-47.492802,"188124","UNICAMP","spLink"
"aegopogon","var. angustifolia","MELASTOMATACEAE tibouchina aegopogon aff. subsp. var. angustifolia Cogn.",22,3,2012,-14.0952777777778,-47.4927777777778,NA,NA,"reflora"
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia (Naudin) Cogn.",8,2,1987,-13.7333333333333,-47.25,NA,NA,"reflora"
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia (Naudin) Cogn.",19,4,1983,-9.58333333333333,-54.9166666666667,NA,NA,"reflora"
"aegopogon","var. angustifolia","MELASTOMATACEAE tibouchina aegopogon subsp. var. angustifolia (Naudin) Cogn.",24,3,2012,-13.9288888888889,-47.43,NA,NA,"reflora"
"aegopogon","var. angustifolia","MELASTOMATACEAE tibouchina aegopogon subsp. var. angustifolia Cogn.",22,3,2012,-14.0952777777778,-47.4927777777778,NA,NA,"reflora"
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia Cogn.",NA,NA,NA,-13.8633333333333,-47.5,NA,NA,"reflora"
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia Cogn.",NA,NA,NA,-13.8908333333333,-47.5166666666667,NA,NA,"reflora"
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia Cogn.",NA,NA,NA,-13.8002777777778,-47.5166666666667,NA,NA,"reflora"
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia Cogn.",NA,NA,NA,-13.9583333333333,-47.3577777777778,NA,NA,"reflora"
"aegopogon","angustifolia","MELASTOMATACEAE Tibouchina aegopogon subsp. angustifolia Cogn.",NA,NA,NA,-13.7975,-47.4580555555556,NA,NA,"reflora"
